                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92258,                0.80532,                 1.0128,                0.47061,                0.59429,                0.47627,                0.34625,                 1.0417,                 2.0749,                 1.1956,              0.0013335,              0.0013335,              0.0013335
                     36,                0.94047,                0.80143,                 1.0167,                 0.6068,                0.62286,                0.57603,                0.40906,                 1.1171,                 1.3748,                 1.2468,              0.0013139,              0.0013139,              0.0013139
                     37,                0.93032,                0.77545,                 1.0083,                0.52838,                0.68501,                0.54596,                0.38674,                 1.0474,                  1.486,                 1.2254,              0.0012943,              0.0012943,              0.0012943
                     38,                0.89065,                0.76769,                 1.0131,                0.53662,                0.65714,                0.56418,                0.41767,                0.95336,                  1.454,                 1.0895,              0.0012747,              0.0012747,              0.0012747
                     39,                0.90049,                0.77215,                 1.0146,                0.57073,                0.64571,                0.58682,                0.41308,                 1.0363,                 1.5953,                 1.2087,               0.001255,               0.001255,               0.001255
                     40,                0.93283,                0.76773,                 1.0083,                0.58333,                0.56799,                0.55547,                0.39556,                 1.0455,                 1.5082,                 1.2017,              0.0012354,              0.0012354,              0.0012354
                     41,                0.91346,                0.74677,                 1.0027,                 0.5899,                0.60002,                0.58792,                0.41598,                 1.0619,                 1.4188,                  1.232,              0.0012158,              0.0012158,              0.0012158
                     42,                0.90574,                 0.7606,                   1.02,                0.63163,                0.54286,                0.53645,                0.38176,                 1.1605,                 1.5774,                   1.31,              0.0011962,              0.0011962,              0.0011962
                     43,                0.91291,                0.74801,                0.99876,                 0.6094,                0.62286,                 0.5929,                0.42177,                 1.1498,                 1.1303,                 1.3412,              0.0011766,              0.0011766,              0.0011766
                     44,                 0.8707,                0.71286,                0.99358,                0.64499,                0.62857,                0.58043,                0.42893,                 1.0604,                 1.2343,                 1.2757,               0.001157,               0.001157,               0.001157
